objectID;details;xCoord;yCoord;width;height;hitboxX;hitboxY;hitboxW;hitboxH
0;blank;null;null;null;null;null;null;null;null
1;block0;;;;;;;;
2;block90;;;;;;;;
3;block180;;;;;;;;
4;block270;;;;;;;;
5;spike1_0;;;;;;;;
6;spike1_90;;;;;;;;
7;spike1_180;;;;;;;;
8;spike1_270;;;;;;;;
9;spike2_0;;;;;;;;
10;spike2_90;;;;;;;;
11;spike2_180;;;;;;;;
12;spike2_270;;;;;;;;
13;speed0;;;;;;;;
14;speed1;;;;;;;;
15;speed2;;;;;;;;
16;speed3;;;;;;;;
17;speed4;;;;;;;;
18;cubePortal;;;;;;;;
19;shipPortal;;;;;;;;
20;ballPortal;;;;;;;;
21;wavePortal;;;;;;;;
22;ufoPortal;;;;;;;;
23;spiderPortal;;;;;;;;
24;robotPortal;;;;;;;;
25;blueGravPort;;;;;;;;
26;yellowGravPort;;;;;;;;
27;normalPortal;;;;;;;;
28;miniPortal;;;;;;;;
29;pinkOrb;;;;;;;;
30;yellowOrb;;;;;;;;
31;redOrb;;;;;;;;
32;blueOrb;;;;;;;;
33;greenOrb;;;;;;;;
34;blackOrb;;;;;;;;
35;pinkPad;;;;;;;;
36;yellowPad;;;;;;;;
37;redPad;;;;;;;;
38;bluePad;;;;;;;;
39;greenDashOrb;;;;;;;;
40;pinkDashOrb;;;;;;;;
