objectID		details			imageDir

0				blank			null
1				block0			assets/block0.png
2				block90			assets/block1.png
3				block180		assets/block2.png
4				block270		assets/block3.png
5				spike1_0		assets/spike1_0.png
6				spike1_90		assets/spike1_90.png
7				spike1_180		assets/spike1_180.png
8				spike1_270		assets/spike1_270.png
9				spike2_0		assets/spike2_0.png
10				spike2_90		assets/spike2_90.png
11				spike2_180		assets/spike2_180.png
12				spike2_270		assets/spike2_270.png
13				speed0			assets/1x_speed.png
14				speed1			assets/0.5_speed.png
15				speed2			assets/2x_speed.png
16				speed3			assets/3x_speed.png
17				speed4			assets/4x_speed.png
18				cubePortal		assets/cubePortal.png
19				shipPortal		assets/shipPortal.png
20				ballPortal		assets/ballPortal.png
21				wavePortal		assets/wavePortal.png
22				ufoPortal		assets/ufoPortal.png
23				spiderPortal	assets/spiderPortal.png
24				blueGravPort	assets/blueGravityPortal.png
25				yellowGravPort	assets/yellowGravityPortal.png
26				normalPortal	assets/normalPortal.png
27				miniPortal		assets/miniPortal.png
28				pinkOrb			assets/pinkOrb.png
29				yellowOrb		assets/yellowOrb.png
30				blueOrb			assets/blueOrb.png
31				greenOrb		assets/greenOrb.png
32				blackOrb		assets/blackOrb.png
33				pinkPad			assets/pinkPad.png
34				yellowPad		assets/yellowPad.png
35				bluePad			assets/bluePad.png
